0.000000000000000000e+00 8.154694437980651855e-01 7.752450961100903863e-03
1.000000000000000000e+00 7.247796058654785156e-01 6.779879557935497222e-03
2.000000000000000000e+00 6.248211264610290527e-01 5.957645705983608507e-03
3.000000000000000000e+00 5.543065071105957031e-01 5.287770229049876085e-03
4.000000000000000000e+00 4.845449030399322510e-01 4.761756296399273850e-03
5.000000000000000000e+00 4.530441164970397949e-01 4.356738660908952322e-03
6.000000000000000000e+00 4.245120882987976074e-01 4.049549374399306206e-03
7.000000000000000000e+00 3.900486528873443604e-01 3.812699529189097613e-03
8.000000000000000000e+00 3.724376857280731201e-01 3.624575198451174870e-03
9.000000000000000000e+00 3.572717308998107910e-01 3.469186568561988693e-03
1.000000000000000000e+01 3.344821631908416748e-01 3.334802464593814800e-03
1.100000000000000000e+01 3.187799453735351562e-01 3.214403043819379340e-03
1.200000000000000000e+01 3.041255176067352295e-01 3.105883281442183615e-03
1.300000000000000000e+01 3.045529425144195557e-01 3.005565533155127225e-03
1.400000000000000000e+01 2.838070988655090332e-01 2.913303163987171832e-03
1.500000000000000000e+01 2.775394022464752197e-01 2.828670000728172439e-03
1.600000000000000000e+01 2.767303287982940674e-01 2.751207955275909896e-03
1.700000000000000000e+01 2.711185812950134277e-01 2.681072150604634288e-03
1.800000000000000000e+01 2.500737309455871582e-01 2.617811590810365310e-03
1.900000000000000000e+01 2.473059445619583130e-01 2.560821892339971897e-03
