# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
121 79.2523 2.50e-01 5.92e-01 91.1216
122 78.6293 2.60e-01 6.48e-01 90.3349
123 77.9439 2.60e-01 7.39e-01 89.9753
124 78.1931 2.45e-01 6.68e-01 90.4922
125 77.6324 2.60e-01 6.49e-01 90.0427
126 77.6324 2.56e-01 6.63e-01 90.5597
127 78.7539 2.55e-01 6.58e-01 89.8629
128 78.5670 2.48e-01 6.84e-01 91.0766
129 80.7477 2.56e-01 6.99e-01 90.6046
130 77.5701 2.63e-01 7.47e-01 89.9303
131 79.8131 2.59e-01 6.02e-01 90.3349
132 77.7570 2.53e-01 7.13e-01 90.5597
133 80.3738 2.55e-01 5.83e-01 90.6721
134 77.3209 2.46e-01 7.03e-01 90.6271
135 78.6293 2.42e-01 6.44e-01 91.0542
136 77.3832 2.60e-01 6.96e-01 90.0202
137 77.1340 2.54e-01 7.93e-01 90.3799
138 79.5016 2.57e-01 6.18e-01 90.4922
139 80.0000 2.47e-01 6.76e-01 90.0877
140 77.6947 2.46e-01 7.71e-01 90.7844
141 79.1900 2.52e-01 6.01e-01 90.2900
142 79.7508 2.44e-01 6.15e-01 91.0092
143 80.7477 2.43e-01 6.19e-01 91.0766
144 79.9377 2.57e-01 6.62e-01 90.6496
145 80.5607 2.62e-01 5.66e-01 90.0877
146 77.1963 2.54e-01 8.44e-01 90.7620
147 76.7601 2.48e-01 7.12e-01 90.8744
148 78.3801 2.46e-01 7.78e-01 90.8069
149 78.3178 2.38e-01 6.52e-01 91.0766
150 77.5701 2.41e-01 6.61e-01 91.4138
151 79.2523 2.43e-01 6.29e-01 91.0542
152 76.9470 2.61e-01 6.76e-01 89.9977
153 78.1931 2.58e-01 7.33e-01 90.0652
154 78.6293 2.50e-01 6.33e-01 90.7170
155 76.7601 2.44e-01 7.59e-01 90.8069
156 76.9470 2.52e-01 7.48e-01 90.4473
157 80.4984 2.47e-01 5.95e-01 90.7620
158 80.0000 2.45e-01 6.08e-01 90.5597
159 80.7477 2.42e-01 6.24e-01 90.8968
160 78.5670 2.41e-01 6.48e-01 90.6046
161 79.6262 2.41e-01 6.30e-01 90.8519
162 78.9408 2.54e-01 6.46e-01 90.3124
163 77.4455 2.48e-01 8.09e-01 90.6046
164 76.0748 2.60e-01 7.22e-01 90.2225
165 78.2555 2.49e-01 6.86e-01 90.6496
166 78.8162 2.39e-01 6.54e-01 90.8069
167 78.7539 2.33e-01 6.44e-01 91.3239
168 77.6947 2.34e-01 7.32e-01 91.1890
169 79.0031 2.51e-01 7.18e-01 90.6271
170 77.9439 2.42e-01 6.68e-01 91.0991
171 78.3801 2.39e-01 7.03e-01 90.9418
172 79.3769 2.42e-01 6.26e-01 91.0092
173 78.5670 2.46e-01 6.99e-01 90.5597
174 76.5732 2.27e-01 8.03e-01 91.6161
175 76.6355 2.53e-01 7.48e-01 90.4698
