# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
0 2.1184 2.59e+00 2.71e+00 6.7431
1 75.0156 1.01e+00 7.75e-01 63.9694
2 72.5234 8.21e-01 7.47e-01 71.1845
3 78.0062 8.38e-01 7.40e-01 71.2744
4 79.0031 8.11e-01 6.98e-01 70.2180
5 78.8785 7.79e-01 7.23e-01 72.5331
6 76.7601 7.66e-01 7.30e-01 71.4543
7 73.3956 7.52e-01 7.40e-01 72.9153
8 76.2617 7.54e-01 7.08e-01 72.7804
9 72.3988 7.46e-01 7.81e-01 72.7130
10 72.2741 7.42e-01 7.74e-01 72.4657
11 72.5234 7.48e-01 7.85e-01 72.6231
12 73.4579 7.53e-01 7.66e-01 73.0726
13 72.7103 7.49e-01 7.58e-01 72.2185
14 73.7072 7.42e-01 7.70e-01 72.5331
15 73.3956 7.31e-01 7.78e-01 73.0951
16 70.9034 7.31e-01 8.33e-01 73.0052
17 70.7788 7.48e-01 8.00e-01 72.9377
18 72.5857 7.55e-01 7.84e-01 72.2859
19 72.3364 7.30e-01 8.25e-01 72.9153
20 73.6449 7.31e-01 7.99e-01 72.2185
21 70.8411 7.55e-01 8.34e-01 72.6905
22 73.3956 7.47e-01 7.96e-01 72.6905
23 71.2773 7.26e-01 8.09e-01 73.0501
24 69.9688 7.22e-01 8.70e-01 73.2299
25 73.0841 7.23e-01 7.94e-01 72.9827
26 72.5857 7.25e-01 8.18e-01 73.4772
27 73.5202 7.38e-01 8.22e-01 71.9038
28 71.1526 7.37e-01 8.51e-01 72.7130
29 72.0872 7.40e-01 8.47e-01 72.7130
30 70.9034 7.51e-01 8.49e-01 72.3533
31 69.9065 7.23e-01 8.60e-01 72.5781
32 71.6511 7.51e-01 8.50e-01 72.4882
33 66.9782 7.38e-01 8.67e-01 72.4432
34 71.2150 7.30e-01 8.51e-01 72.6680
35 66.3551 7.37e-01 9.11e-01 72.8029
36 67.7259 7.23e-01 8.78e-01 72.7130
37 64.4860 7.25e-01 9.38e-01 73.2299
38 63.5514 7.29e-01 9.39e-01 72.7579
39 67.1651 7.16e-01 8.98e-01 73.1625
40 67.5389 7.24e-01 8.69e-01 72.9602
41 65.7944 7.27e-01 9.37e-01 72.8703
42 66.5421 7.38e-01 8.73e-01 72.1960
43 67.1651 7.37e-01 9.14e-01 72.5556
44 64.4860 7.32e-01 9.37e-01 72.6006
45 65.1713 7.23e-01 9.64e-01 73.1176
46 67.2274 7.25e-01 9.41e-01 72.8029
47 68.4735 7.35e-01 9.00e-01 73.0951
48 66.7913 7.26e-01 9.42e-01 72.2185
49 64.2991 7.28e-01 9.56e-01 72.5107
50 62.1184 7.25e-01 1.04e+00 73.1176
51 68.3489 7.24e-01 9.01e-01 72.8029
52 65.4206 7.26e-01 9.62e-01 72.7130
53 67.6012 7.35e-01 9.48e-01 73.0726
54 66.3551 7.45e-01 9.59e-01 72.3533
55 65.1713 7.22e-01 9.58e-01 73.2075
56 66.2928 7.27e-01 9.54e-01 72.9602
57 67.6012 7.20e-01 9.31e-01 73.4772
58 65.4206 7.20e-01 9.62e-01 73.0726
59 67.0405 7.25e-01 9.70e-01 73.2974
60 67.6012 7.50e-01 9.46e-01 73.7469
61 65.6075 7.57e-01 9.78e-01 71.9488
62 65.9190 7.21e-01 9.83e-01 72.8029
63 68.7227 7.22e-01 9.13e-01 73.2299
64 68.9097 7.19e-01 9.18e-01 72.7579
65 63.8629 7.29e-01 1.02e+00 73.1176
66 67.5389 7.24e-01 9.60e-01 72.6006
67 65.8567 7.25e-01 1.00e+00 73.2075
68 64.9844 8.26e-01 1.03e+00 72.9602
69 65.6075 7.55e-01 1.02e+00 71.0272
70 64.2368 7.16e-01 1.00e+00 72.6231
71 65.6075 7.16e-01 9.89e-01 73.1400
72 65.3583 7.26e-01 9.63e-01 73.1400
73 65.9190 7.20e-01 9.72e-01 72.6231
74 67.7882 7.14e-01 9.65e-01 73.5221
75 69.0966 7.19e-01 9.64e-01 73.0052
76 66.7913 7.19e-01 9.98e-01 73.1625
77 66.0436 7.26e-01 1.03e+00 72.7579
78 63.9875 7.22e-01 1.07e+00 72.8029
79 65.5452 7.21e-01 9.76e-01 73.2749
80 65.0467 7.15e-01 9.96e-01 72.9827
81 67.1028 7.27e-01 9.69e-01 72.2410
82 62.4299 7.19e-01 1.07e+00 73.1176
83 65.6075 7.21e-01 1.05e+00 73.2749
84 67.2897 7.23e-01 1.01e+00 72.8928
85 64.1122 7.36e-01 1.04e+00 72.7130
86 64.7975 7.42e-01 1.00e+00 72.2634
87 69.4704 7.36e-01 9.45e-01 72.5556
88 65.6075 7.30e-01 1.00e+00 72.9377
89 64.9221 7.19e-01 1.00e+00 72.9377
90 66.4798 7.21e-01 1.01e+00 72.3983
91 67.9751 7.16e-01 9.91e-01 72.9827
92 69.6573 7.21e-01 9.70e-01 72.2859
93 67.8505 7.23e-01 1.01e+00 72.5107
