# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
121 79.4393 1.07e-01 1.32e+00 95.8193
122 76.9470 9.69e-02 1.35e+00 96.2688
123 77.8816 8.85e-02 1.28e+00 96.6959
124 79.3769 9.62e-02 1.25e+00 96.5386
125 78.5670 1.00e-01 1.26e+00 96.2688
126 76.8847 9.01e-02 1.37e+00 96.5386
127 78.3801 9.59e-02 1.36e+00 96.5161
128 77.8193 1.13e-01 1.30e+00 95.8642
129 77.4455 1.04e-01 1.45e+00 96.0441
130 77.6947 1.07e-01 1.31e+00 95.9317
131 77.6947 1.04e-01 1.36e+00 96.1564
132 78.8162 9.01e-02 1.33e+00 96.6959
133 77.9439 8.54e-02 1.26e+00 96.8083
134 79.6885 9.16e-02 1.30e+00 96.4936
135 76.6978 8.73e-02 1.38e+00 96.6509
136 77.8816 9.09e-02 1.50e+00 96.3812
137 77.9439 9.10e-02 1.31e+00 96.6734
138 76.6355 7.78e-02 1.46e+00 97.3252
139 78.3801 7.92e-02 1.41e+00 96.7633
140 78.0062 8.73e-02 1.46e+00 96.7408
141 79.8131 9.18e-02 1.30e+00 96.4486
142 78.0062 8.99e-02 1.35e+00 96.8083
143 78.7539 9.48e-02 1.39e+00 96.2463
144 77.7570 1.04e-01 1.37e+00 96.0665
145 78.3801 8.45e-02 1.35e+00 96.6509
146 79.0031 7.20e-02 1.40e+00 97.4376
147 79.3146 8.73e-02 1.40e+00 97.0330
148 79.0654 8.06e-02 1.31e+00 97.1005
149 77.9439 7.96e-02 1.43e+00 96.8757
150 77.8816 8.21e-02 1.45e+00 97.0555
151 78.3178 1.02e-01 1.33e+00 96.5835
152 77.0716 9.90e-02 1.48e+00 96.0890
153 78.3178 1.08e-01 1.57e+00 96.0216
154 79.0031 8.15e-02 1.42e+00 96.8083
155 77.8816 8.64e-02 1.37e+00 96.6060
156 78.2555 7.80e-02 1.46e+00 97.1005
157 78.1308 7.10e-02 1.49e+00 97.5051
158 77.9439 7.00e-02 1.47e+00 97.5725
159 77.6947 8.39e-02 1.44e+00 97.1005
160 79.1277 8.48e-02 1.43e+00 97.1904
161 77.2586 6.65e-02 1.45e+00 97.7523
162 77.4455 7.55e-02 1.49e+00 97.2129
163 77.6947 7.95e-02 1.41e+00 97.0780
164 77.2586 7.92e-02 1.65e+00 97.0106
165 76.5109 8.00e-02 1.57e+00 97.1679
166 79.1277 7.42e-02 1.47e+00 97.5725
167 79.0031 8.26e-02 1.43e+00 97.0330
168 78.4424 8.36e-02 1.51e+00 96.9207
169 78.1308 7.29e-02 1.47e+00 96.9207
170 76.4486 7.70e-02 1.55e+00 97.0330
171 78.2555 6.60e-02 1.48e+00 97.7748
172 77.9439 7.34e-02 1.48e+00 97.5051
173 77.2586 6.91e-02 1.60e+00 97.4151
174 77.8816 6.47e-02 1.46e+00 97.8872
175 77.1340 7.28e-02 1.69e+00 97.4601
176 77.5078 8.00e-02 1.55e+00 96.8982
177 78.8162 7.82e-02 1.50e+00 97.0106
178 79.0031 6.78e-02 1.52e+00 97.7748
179 79.9377 6.29e-02 1.47e+00 97.6849
180 78.6293 7.85e-02 1.51e+00 97.0555
181 79.3146 6.21e-02 1.48e+00 97.7973
182 78.6916 7.75e-02 1.47e+00 97.1454
183 78.5670 6.97e-02 1.56e+00 97.5950
184 78.8785 6.70e-02 1.54e+00 97.5051
185 79.6262 6.81e-02 1.54e+00 97.4376
186 78.8785 7.24e-02 1.56e+00 97.4826
187 76.6355 7.38e-02 1.56e+00 97.3252
188 78.6293 7.71e-02 1.65e+00 97.2353
189 79.5016 7.17e-02 1.51e+00 97.0780
190 79.6885 5.74e-02 1.49e+00 98.0220
191 78.6916 7.28e-02 1.75e+00 97.2129
192 78.7539 6.43e-02 1.72e+00 97.7523
193 77.9439 9.74e-02 1.75e+00 96.6060
194 77.0093 9.85e-02 1.70e+00 96.5386
195 79.3146 8.24e-02 1.60e+00 97.1454
196 78.9408 7.65e-02 1.68e+00 97.1005
197 76.8224 6.79e-02 1.68e+00 97.6624
198 78.4424 7.05e-02 1.61e+00 97.4151
199 78.6916 6.77e-02 1.62e+00 97.3927
200 77.3832 7.34e-02 1.81e+00 97.3927
201 78.1931 7.42e-02 1.65e+00 97.1005
202 78.0062 5.92e-02 1.72e+00 97.9321
203 78.8162 6.93e-02 1.74e+00 97.7074
204 78.5670 5.87e-02 1.63e+00 97.9995
205 78.8785 5.41e-02 1.60e+00 97.9771
206 78.4424 7.37e-02 1.63e+00 97.4151
207 78.6916 6.45e-02 1.67e+00 97.8197
208 79.4393 6.04e-02 1.58e+00 97.8872
209 77.5701 6.56e-02 1.64e+00 97.6624
210 79.1900 6.48e-02 1.69e+00 97.8647
211 78.5670 6.14e-02 1.73e+00 97.7298
212 78.2555 5.34e-02 1.70e+00 98.3367
213 79.5639 6.83e-02 1.63e+00 97.5500
214 79.0031 6.18e-02 1.65e+00 97.6399
215 80.3738 6.09e-02 1.59e+00 97.8872
216 77.7570 5.48e-02 1.70e+00 98.0670
217 79.5016 6.20e-02 1.78e+00 97.9321
218 79.5639 6.49e-02 1.60e+00 97.8197
219 76.5109 5.59e-02 1.78e+00 97.9995
220 78.6293 5.57e-02 1.71e+00 98.0445
221 78.8785 5.57e-02 1.76e+00 98.0445
222 78.6916 7.10e-02 1.72e+00 97.4826
223 78.3801 8.20e-02 1.75e+00 97.1229
224 80.2492 5.69e-02 1.62e+00 98.0445
225 79.1277 6.60e-02 1.77e+00 97.7748
226 79.7508 6.04e-02 1.67e+00 97.7973
227 79.0654 6.41e-02 1.69e+00 97.6624
228 77.6947 6.32e-02 1.77e+00 97.8647
229 78.5670 6.21e-02 1.68e+00 97.9321
230 79.1900 5.04e-02 1.70e+00 98.2693
231 79.1277 5.25e-02 1.69e+00 98.2917
232 80.2492 5.23e-02 1.72e+00 98.1344
233 79.5016 5.03e-02 1.71e+00 98.2018
234 78.7539 5.15e-02 1.77e+00 98.1119
235 78.8785 5.89e-02 1.67e+00 97.8197
236 79.6262 5.71e-02 1.85e+00 98.0445
237 80.6231 6.11e-02 1.69e+00 97.8647
238 80.6231 5.49e-02 1.66e+00 98.0895
239 80.1869 5.80e-02 1.74e+00 98.0445
240 80.6231 4.86e-02 1.68e+00 98.2693
241 78.6916 4.94e-02 1.77e+00 98.2468
242 79.7508 7.06e-02 1.74e+00 97.6624
243 79.7508 6.98e-02 1.69e+00 97.3927
244 79.5639 6.50e-02 1.93e+00 97.6399
245 79.4393 6.78e-02 1.79e+00 97.5275
246 79.2523 5.29e-02 1.76e+00 98.1119
247 79.4393 6.38e-02 1.73e+00 97.6399
248 79.3146 4.97e-02 1.83e+00 98.3142
249 78.5670 5.11e-02 1.88e+00 98.4041
250 79.8131 5.94e-02 1.75e+00 98.0895
251 79.6262 6.89e-02 1.80e+00 97.9096
252 79.5016 7.40e-02 1.87e+00 97.4151
253 79.0031 5.93e-02 1.81e+00 97.9995
254 78.9408 7.17e-02 1.83e+00 97.2578
255 80.6231 5.37e-02 1.69e+00 98.0895
256 79.1277 5.39e-02 1.78e+00 98.0670
257 79.4393 5.59e-02 1.80e+00 98.0220
258 79.7508 6.82e-02 1.92e+00 97.7074
259 81.1215 5.20e-02 1.72e+00 98.2243
260 80.1869 4.83e-02 1.84e+00 98.3367
261 80.5607 4.35e-02 1.82e+00 98.4491
262 79.0654 5.17e-02 1.94e+00 98.2243
263 80.8723 5.39e-02 1.76e+00 98.2243
264 80.5607 4.36e-02 1.85e+00 98.4266
265 78.8162 6.10e-02 2.04e+00 98.0220
266 77.5701 7.85e-02 1.96e+00 97.5950
267 77.8816 7.41e-02 2.17e+00 97.3927
268 81.4330 5.75e-02 1.87e+00 98.3817
269 79.2523 4.92e-02 1.95e+00 98.3367
270 79.9377 4.69e-02 1.91e+00 98.2018
271 80.0000 4.22e-02 1.90e+00 98.5615
272 79.7508 4.53e-02 1.90e+00 98.4491
273 79.6885 5.72e-02 1.89e+00 97.9321
274 79.3769 5.35e-02 1.94e+00 98.1794
275 78.2555 5.76e-02 1.90e+00 97.8872
276 80.4984 5.70e-02 1.87e+00 98.0670
277 79.6885 6.39e-02 1.92e+00 97.7074
278 79.2523 4.94e-02 1.91e+00 98.2243
279 79.1900 4.91e-02 1.93e+00 98.2468
280 78.3178 4.71e-02 1.94e+00 98.4716
281 80.2492 4.78e-02 1.85e+00 98.3817
282 79.5639 4.62e-02 2.00e+00 98.2243
283 79.1900 4.78e-02 1.97e+00 98.3142
284 78.7539 5.00e-02 2.10e+00 98.4041
285 79.3769 5.99e-02 2.01e+00 98.2243
286 79.1277 4.73e-02 1.94e+00 98.4041
287 80.3115 4.31e-02 1.91e+00 98.4716
288 80.6854 4.63e-02 1.89e+00 98.3817
289 80.3738 4.56e-02 1.92e+00 98.4266
290 80.2492 4.19e-02 1.94e+00 98.4940
291 80.4361 4.07e-02 1.89e+00 98.5615
292 80.1869 6.92e-02 2.01e+00 97.6399
293 79.6885 6.21e-02 1.94e+00 97.8422
294 78.5047 8.44e-02 2.16e+00 96.9207
295 80.5607 7.50e-02 1.99e+00 97.4376
296 80.3738 7.70e-02 1.96e+00 97.5500
297 80.1246 6.33e-02 2.08e+00 97.6849
298 80.4361 4.09e-02 2.11e+00 98.5840
299 80.1246 4.69e-02 2.02e+00 98.3817
300 79.8754 5.02e-02 2.07e+00 98.2243
301 80.6231 4.63e-02 1.96e+00 98.3142
302 81.3707 3.74e-02 1.89e+00 98.8537
303 80.5607 3.98e-02 1.99e+00 98.7862
304 80.1869 3.89e-02 1.97e+00 98.8087
305 81.8069 4.52e-02 1.92e+00 98.4041
306 79.3769 4.62e-02 1.97e+00 98.5390
307 79.7508 4.23e-02 1.98e+00 98.4266
308 79.4393 3.99e-02 1.98e+00 98.6963
309 79.1900 4.59e-02 2.02e+00 98.3592
310 80.0623 4.14e-02 2.05e+00 98.5615
311 80.8723 3.83e-02 2.01e+00 98.6963
312 78.8162 4.64e-02 2.10e+00 98.4491
313 79.1277 4.18e-02 2.05e+00 98.4940
314 79.3769 4.33e-02 2.10e+00 98.4491
315 81.5576 5.28e-02 1.90e+00 98.2243
316 79.0654 5.69e-02 2.15e+00 98.0895
317 78.7539 6.81e-02 2.05e+00 97.6849
318 79.8754 5.73e-02 2.10e+00 97.8647
319 79.0654 5.49e-02 2.22e+00 98.1344
320 78.8162 5.14e-02 2.18e+00 98.4716
321 80.0623 5.08e-02 2.09e+00 98.3142
322 79.6885 7.85e-02 2.20e+00 97.3927
323 79.6885 5.50e-02 2.02e+00 98.0670
324 78.0062 4.20e-02 2.10e+00 98.4491
325 80.2492 3.64e-02 2.06e+00 98.9885
326 79.6885 3.41e-02 2.06e+00 98.9211
327 80.0623 4.16e-02 2.07e+00 98.6064
328 79.7508 3.94e-02 2.15e+00 98.5840
329 79.7508 3.33e-02 2.03e+00 98.8312
330 79.5639 3.46e-02 2.14e+00 98.7188
331 80.0623 4.57e-02 2.07e+00 98.2018
332 80.0623 3.29e-02 2.04e+00 98.8087
333 78.9408 3.57e-02 2.13e+00 98.6289
334 80.2492 3.57e-02 2.00e+00 98.8762
335 80.4361 3.85e-02 2.02e+00 98.6289
336 80.0623 4.04e-02 2.14e+00 98.6289
337 79.1277 3.85e-02 2.13e+00 98.6514
338 79.8131 4.73e-02 2.08e+00 98.2693
339 79.1277 3.94e-02 2.17e+00 98.6289
340 78.9408 6.21e-02 2.27e+00 97.7074
341 79.5639 7.49e-02 1.99e+00 97.4151
342 80.2492 6.20e-02 2.13e+00 97.9771
343 79.8131 4.49e-02 2.13e+00 98.5390
344 80.3738 3.87e-02 2.09e+00 98.6739
345 80.2492 4.53e-02 2.08e+00 98.3592
346 80.0000 3.34e-02 2.11e+00 98.8087
347 79.3146 3.58e-02 2.13e+00 98.8537
