# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
121 76.0000 1.22e-01 1.32e+00 95.0000
122 76.0000 1.18e-01 1.28e+00 95.0000
123 77.0000 1.10e-01 1.26e+00 95.0000
124 78.0000 1.20e-01 1.18e+00 95.0000
125 77.0000 1.13e-01 1.19e+00 95.0000
126 77.0000 1.08e-01 1.18e+00 96.0000
127 77.0000 8.43e-02 1.21e+00 97.0000
128 79.0000 9.97e-02 1.19e+00 96.0000
129 78.0000 9.66e-02 1.21e+00 96.0000
130 77.0000 1.08e-01 1.17e+00 96.0000
131 74.0000 1.02e-01 1.24e+00 96.0000
132 77.0000 1.03e-01 1.26e+00 96.0000
133 77.0000 1.22e-01 1.30e+00 95.0000
134 80.0000 1.16e-01 1.20e+00 95.0000
135 78.0000 1.10e-01 1.24e+00 96.0000
136 80.0000 9.88e-02 1.17e+00 96.0000
137 78.0000 1.10e-01 1.35e+00 95.0000
138 78.0000 1.22e-01 1.30e+00 95.0000
139 77.0000 1.18e-01 1.25e+00 95.0000
140 77.0000 1.25e-01 1.27e+00 95.0000
141 79.0000 1.29e-01 1.33e+00 95.0000
142 80.0000 1.33e-01 1.20e+00 94.0000
143 80.0000 1.14e-01 1.14e+00 95.0000
144 78.0000 1.20e-01 1.31e+00 95.0000
145 77.0000 1.04e-01 1.32e+00 96.0000
146 76.0000 9.68e-02 1.31e+00 96.0000
147 78.0000 8.98e-02 1.30e+00 96.0000
148 77.0000 9.25e-02 1.36e+00 96.0000
149 77.0000 1.04e-01 1.40e+00 95.0000
150 76.0000 1.00e-01 1.37e+00 96.0000
151 78.0000 9.96e-02 1.26e+00 96.0000
152 78.0000 7.94e-02 1.33e+00 97.0000
153 78.0000 9.11e-02 1.27e+00 96.0000
154 76.0000 8.77e-02 1.33e+00 96.0000
155 77.0000 9.02e-02 1.32e+00 96.0000
156 77.0000 1.01e-01 1.31e+00 96.0000
157 76.0000 8.41e-02 1.37e+00 96.0000
158 76.0000 8.26e-02 1.39e+00 97.0000
159 77.0000 1.04e-01 1.27e+00 96.0000
160 77.0000 8.93e-02 1.24e+00 96.0000
161 78.0000 1.16e-01 1.28e+00 95.0000
162 75.0000 1.08e-01 1.47e+00 96.0000
163 76.0000 9.21e-02 1.42e+00 96.0000
164 75.0000 8.88e-02 1.49e+00 96.0000
165 75.0000 1.05e-01 1.55e+00 96.0000
166 77.0000 1.28e-01 1.37e+00 95.0000
167 78.0000 1.21e-01 1.34e+00 95.0000
168 77.0000 1.29e-01 1.36e+00 95.0000
169 78.0000 1.19e-01 1.41e+00 96.0000
170 79.0000 1.15e-01 1.34e+00 96.0000
171 78.0000 9.63e-02 1.34e+00 96.0000
172 78.0000 8.83e-02 1.38e+00 96.0000
173 77.0000 6.69e-02 1.36e+00 97.0000
174 78.0000 6.54e-02 1.36e+00 97.0000
175 79.0000 6.17e-02 1.32e+00 97.0000
176 78.0000 7.94e-02 1.38e+00 96.0000
177 78.0000 9.10e-02 1.37e+00 96.0000
178 77.0000 1.13e-01 1.38e+00 95.0000
179 77.0000 1.05e-01 1.48e+00 95.0000
180 76.0000 1.34e-01 1.36e+00 95.0000
181 79.0000 1.40e-01 1.38e+00 94.0000
182 77.0000 1.04e-01 1.38e+00 95.0000
183 77.0000 1.10e-01 1.47e+00 95.0000
184 76.0000 1.25e-01 1.40e+00 95.0000
185 77.0000 1.19e-01 1.38e+00 95.0000
186 79.0000 1.05e-01 1.25e+00 96.0000
187 77.0000 8.02e-02 1.39e+00 97.0000
188 79.0000 8.74e-02 1.35e+00 96.0000
189 78.0000 8.98e-02 1.35e+00 96.0000
190 77.0000 1.21e-01 1.45e+00 95.0000
191 77.0000 8.74e-02 1.36e+00 96.0000
192 78.0000 8.22e-02 1.35e+00 97.0000
193 77.0000 7.74e-02 1.41e+00 97.0000
194 79.0000 8.47e-02 1.35e+00 96.0000
195 77.0000 9.76e-02 1.54e+00 96.0000
196 78.0000 9.56e-02 1.44e+00 96.0000
197 78.0000 9.42e-02 1.48e+00 96.0000
198 79.0000 8.04e-02 1.42e+00 97.0000
199 78.0000 7.99e-02 1.45e+00 96.0000
200 78.0000 7.47e-02 1.48e+00 97.0000
201 76.0000 8.53e-02 1.53e+00 96.0000
202 77.0000 8.98e-02 1.59e+00 96.0000
203 78.0000 9.91e-02 1.53e+00 96.0000
204 79.0000 1.26e-01 1.47e+00 95.0000
205 78.0000 9.18e-02 1.48e+00 96.0000
206 77.0000 8.48e-02 1.42e+00 96.0000
207 77.0000 8.07e-02 1.45e+00 97.0000
208 77.0000 9.55e-02 1.53e+00 96.0000
209 78.0000 1.01e-01 1.49e+00 96.0000
210 79.0000 1.06e-01 1.49e+00 95.0000
211 78.0000 9.96e-02 1.53e+00 96.0000
212 79.0000 8.59e-02 1.48e+00 97.0000
213 78.0000 9.30e-02 1.45e+00 96.0000
214 78.0000 9.27e-02 1.53e+00 96.0000
215 76.0000 8.41e-02 1.60e+00 96.0000
216 79.0000 9.82e-02 1.53e+00 96.0000
217 77.0000 8.31e-02 1.54e+00 97.0000
218 77.0000 7.62e-02 1.57e+00 97.0000
219 77.0000 9.18e-02 1.53e+00 96.0000
220 77.0000 8.89e-02 1.53e+00 96.0000
221 77.0000 1.11e-01 1.56e+00 96.0000
222 77.0000 1.07e-01 1.62e+00 96.0000
223 77.0000 1.24e-01 1.67e+00 95.0000
224 78.0000 1.03e-01 1.61e+00 96.0000
225 78.0000 9.26e-02 1.73e+00 96.0000
226 77.0000 1.12e-01 1.60e+00 95.0000
227 76.0000 9.57e-02 1.69e+00 96.0000
228 77.0000 1.01e-01 1.66e+00 96.0000
229 78.0000 1.04e-01 1.66e+00 96.0000
230 78.0000 1.12e-01 1.64e+00 96.0000
231 76.0000 9.71e-02 1.66e+00 96.0000
232 77.0000 1.09e-01 1.67e+00 96.0000
233 77.0000 8.77e-02 1.61e+00 96.0000
234 77.0000 9.06e-02 1.63e+00 96.0000
235 78.0000 7.62e-02 1.60e+00 97.0000
236 77.0000 7.12e-02 1.65e+00 97.0000
237 77.0000 7.08e-02 1.64e+00 97.0000
238 77.0000 6.61e-02 1.63e+00 97.0000
239 77.0000 6.41e-02 1.64e+00 97.0000
240 77.0000 7.03e-02 1.64e+00 97.0000
241 78.0000 6.94e-02 1.60e+00 97.0000
242 78.0000 6.69e-02 1.60e+00 97.0000
243 78.0000 8.24e-02 1.64e+00 96.0000
244 77.0000 9.28e-02 1.59e+00 96.0000
245 77.0000 1.12e-01 1.68e+00 96.0000
246 78.0000 8.67e-02 1.69e+00 96.0000
247 78.0000 8.87e-02 1.65e+00 97.0000
248 78.0000 8.48e-02 1.65e+00 96.0000
249 79.0000 9.35e-02 1.44e+00 96.0000
250 78.0000 1.03e-01 1.52e+00 96.0000
251 78.0000 1.09e-01 1.54e+00 96.0000
252 78.0000 8.79e-02 1.54e+00 97.0000
