# epoch test_accuracy train_avg_loss test_avg_loss
0 68 3.93e-02 3.03e-02
1 75 1.69e-02 1.78e-02
2 86 1.27e-02 1.10e-02
3 87 1.04e-02 1.12e-02
4 88 1.07e-02 1.07e-02
5 84 1.25e-02 1.57e-02
6 84 1.19e-02 1.33e-02
7 88 1.19e-02 1.03e-02
8 87 9.76e-03 1.04e-02
9 86 9.32e-03 1.14e-02
10 87 8.72e-03 1.03e-02
11 87 8.84e-03 9.36e-03
12 90 8.87e-03 8.62e-03
13 88 8.23e-03 8.47e-03
14 90 7.70e-03 7.21e-03
15 84 8.86e-03 1.50e-02
16 89 1.26e-02 9.95e-03
17 90 1.15e-02 8.43e-03
18 89 7.49e-03 8.27e-03
19 88 8.05e-03 7.10e-03
20 88 7.41e-03 8.59e-03
21 89 6.79e-03 8.32e-03
22 90 6.74e-03 7.83e-03
23 90 6.98e-03 6.57e-03
24 92 6.96e-03 6.03e-03
25 84 7.61e-03 1.55e-02
26 92 7.29e-03 6.99e-03
27 92 6.37e-03 7.11e-03
28 88 6.92e-03 6.76e-03
29 89 6.18e-03 7.88e-03
30 90 6.50e-03 6.12e-03
31 92 5.88e-03 5.77e-03
32 89 6.31e-03 8.07e-03
33 88 7.50e-03 9.36e-03
34 88 6.61e-03 9.08e-03
35 92 6.99e-03 5.14e-03
36 93 5.69e-03 4.97e-03
37 92 5.56e-03 5.24e-03
38 93 5.38e-03 4.88e-03
39 93 5.48e-03 5.16e-03
40 93 5.51e-03 4.52e-03
41 93 5.42e-03 5.66e-03
42 93 5.28e-03 4.82e-03
43 95 4.74e-03 3.84e-03
44 94 4.79e-03 3.69e-03
45 95 3.86e-03 3.48e-03
46 95 4.13e-03 3.88e-03
47 94 4.47e-03 4.28e-03
48 95 3.94e-03 4.21e-03
49 96 4.34e-03 3.72e-03
50 95 4.64e-03 3.76e-03
51 95 5.34e-03 3.67e-03
52 91 3.88e-03 5.94e-03
53 94 3.86e-03 3.95e-03
54 96 3.83e-03 2.80e-03
55 94 4.33e-03 4.07e-03
56 94 4.88e-03 5.07e-03
57 96 3.94e-03 3.13e-03
58 96 3.41e-03 3.05e-03
59 96 3.25e-03 2.93e-03
60 97 3.22e-03 2.47e-03
61 96 3.18e-03 2.47e-03
62 94 3.62e-03 3.67e-03
63 97 3.17e-03 2.60e-03
64 94 2.72e-03 3.86e-03
65 95 3.37e-03 3.00e-03
66 93 4.18e-03 5.04e-03
67 96 3.22e-03 3.12e-03
68 96 3.66e-03 3.26e-03
69 95 4.06e-03 3.68e-03
70 94 3.48e-03 4.00e-03
71 95 2.63e-03 4.00e-03
72 97 2.80e-03 2.16e-03
73 96 2.40e-03 2.98e-03
74 95 2.51e-03 4.00e-03
75 96 2.99e-03 2.90e-03
76 97 2.77e-03 2.46e-03
77 96 2.39e-03 2.94e-03
78 97 2.66e-03 2.34e-03
79 97 2.40e-03 1.93e-03
80 96 2.31e-03 2.16e-03
81 97 2.76e-03 1.81e-03
82 98 1.85e-03 2.14e-03
83 98 2.16e-03 1.91e-03
84 98 2.81e-03 2.15e-03
85 97 3.85e-03 2.44e-03
86 97 1.82e-03 2.08e-03
87 96 1.88e-03 2.39e-03
88 96 1.88e-03 2.73e-03
89 97 2.16e-03 1.54e-03
90 97 2.15e-03 2.03e-03
91 98 2.05e-03 1.83e-03
92 97 2.26e-03 3.32e-03
93 97 2.10e-03 1.72e-03
94 97 2.27e-03 2.38e-03
95 97 2.07e-03 2.09e-03
96 97 2.48e-03 2.42e-03
97 97 2.33e-03 2.39e-03
98 98 2.23e-03 2.16e-03
99 97 1.88e-03 2.12e-03
100 97 1.27e-03 1.60e-03
101 97 1.50e-03 1.55e-03
102 98 2.06e-03 1.44e-03
103 98 1.62e-03 1.71e-03
104 98 1.98e-03 1.81e-03
105 98 1.46e-03 1.45e-03
106 98 1.58e-03 1.62e-03
107 99 1.53e-03 1.12e-03
108 99 1.43e-03 1.06e-03
