# epoch test_accuracy train_avg_loss test_avg_loss
109 99 1.23e-03 9.55e-04
110 99 1.01e-03 8.98e-04
111 98 1.21e-03 1.06e-03
112 99 1.38e-03 9.65e-04
113 98 1.12e-03 1.08e-03
114 98 1.38e-03 1.83e-03
115 97 2.05e-03 2.15e-03
116 97 1.76e-03 4.22e-03
117 99 2.27e-03 1.07e-03
118 99 1.50e-03 1.15e-03
119 98 1.38e-03 1.30e-03
120 99 8.99e-04 9.75e-04
121 99 1.37e-03 1.16e-03
122 98 1.44e-03 1.44e-03
123 99 1.36e-03 9.19e-04
124 98 1.14e-03 1.45e-03
125 99 8.40e-04 9.83e-04
126 99 9.87e-04 7.35e-04
127 99 8.11e-04 7.58e-04
128 99 1.01e-03 8.86e-04
129 99 1.25e-03 7.38e-04
130 99 9.59e-04 7.63e-04
131 98 1.01e-03 1.52e-03
132 99 1.06e-03 8.38e-04
133 99 9.00e-04 7.41e-04
134 99 7.22e-04 7.33e-04
135 99 8.19e-04 1.13e-03
136 99 8.30e-04 7.82e-04
137 98 1.02e-03 1.08e-03
138 99 9.14e-04 6.44e-04
139 98 7.84e-04 1.08e-03
140 98 9.20e-04 1.35e-03
141 97 1.37e-03 3.16e-03
142 98 1.24e-03 1.50e-03
143 96 1.88e-03 3.65e-03
144 98 2.04e-03 1.07e-03
145 99 1.15e-03 7.56e-04
146 99 7.79e-04 7.86e-04
147 99 1.06e-03 6.96e-04
148 99 7.35e-04 5.69e-04
149 99 5.75e-04 5.95e-04
150 99 8.15e-04 1.00e-03
151 99 7.91e-04 5.19e-04
152 98 8.71e-04 1.45e-03
153 99 1.51e-03 9.50e-04
154 98 1.23e-03 9.06e-04
155 98 8.45e-04 1.42e-03
156 99 1.35e-03 1.18e-03
157 99 1.24e-03 1.24e-03
158 98 1.49e-03 1.53e-03
159 98 1.29e-03 1.14e-03
160 99 1.04e-03 6.32e-04
161 99 6.84e-04 9.37e-04
162 99 1.08e-03 6.34e-04
163 99 8.58e-04 5.65e-04
164 98 9.35e-04 1.70e-03
165 99 1.31e-03 7.66e-04
166 99 9.31e-04 6.50e-04
167 99 7.77e-04 1.51e-03
168 99 1.16e-03 6.55e-04
169 98 9.06e-04 1.45e-03
170 99 1.31e-03 1.05e-03
171 99 9.82e-04 6.15e-04
172 99 6.83e-04 6.03e-04
173 99 5.59e-04 6.16e-04
174 99 5.77e-04 4.84e-04
175 99 7.44e-04 6.59e-04
176 99 5.70e-04 5.09e-04
177 99 8.18e-04 5.76e-04
178 99 8.15e-04 6.28e-04
179 99 7.46e-04 6.32e-04
180 99 7.16e-04 1.12e-03
181 99 1.57e-03 9.13e-04
182 99 1.52e-03 5.16e-04
183 99 7.54e-04 5.24e-04
184 99 5.75e-04 5.96e-04
185 99 7.64e-04 4.12e-04
186 99 6.62e-04 4.57e-04
187 99 4.97e-04 5.74e-04
188 99 7.14e-04 1.20e-03
189 99 1.32e-03 5.36e-04
190 99 8.00e-04 7.83e-04
191 99 7.45e-04 7.64e-04
192 99 8.00e-04 4.13e-04
193 98 8.14e-04 1.42e-03
194 99 7.86e-04 5.48e-04
195 99 6.69e-04 3.80e-04
196 99 5.55e-04 1.04e-03
197 99 1.42e-03 5.38e-04
198 99 4.42e-04 4.72e-04
199 99 3.94e-04 4.69e-04
