# epoch test_accuracy train_avg_loss test_avg_loss
0 47 3.21e-02 6.45e-02
1 57 5.57e-02 5.99e-02
2 57 7.65e-02 6.03e-02
3 59 9.53e-02 6.74e-02
4 63 1.12e-01 6.57e-02
5 59 1.27e-01 7.04e-02
6 62 1.43e-01 6.60e-02
7 61 1.57e-01 7.08e-02
8 58 1.70e-01 7.53e-02
9 59 1.82e-01 7.26e-02
10 57 1.94e-01 7.44e-02
11 60 2.06e-01 9.23e-02
12 59 2.17e-01 8.02e-02
13 57 2.27e-01 8.85e-02
14 62 2.37e-01 8.08e-02
15 56 2.47e-01 9.23e-02
16 55 2.56e-01 1.00e-01
17 63 2.66e-01 1.06e-01
18 55 2.75e-01 1.08e-01
19 56 2.84e-01 1.03e-01
20 51 2.93e-01 1.12e-01
21 60 3.02e-01 1.01e-01
22 55 3.10e-01 1.14e-01
23 51 3.18e-01 1.21e-01
24 50 3.26e-01 1.21e-01
25 55 3.33e-01 1.15e-01
26 51 3.41e-01 1.22e-01
27 52 3.48e-01 1.15e-01
28 51 3.55e-01 1.31e-01
29 56 3.63e-01 1.23e-01
30 57 3.70e-01 1.20e-01
31 54 3.77e-01 1.28e-01
32 56 3.84e-01 1.16e-01
33 54 3.91e-01 1.50e-01
34 55 3.97e-01 1.32e-01
35 56 4.04e-01 1.23e-01
36 53 4.10e-01 1.47e-01
37 54 4.16e-01 1.31e-01
38 53 4.22e-01 1.37e-01
39 52 4.29e-01 1.46e-01
