# epoch test_accuracy train_avg_loss test_avg_loss
114 96 4.16e-03 2.86e-03
115 97 3.48e-03 1.44e-03
116 98 4.19e-03 2.41e-03
117 99 2.45e-03 1.31e-03
118 98 2.13e-03 1.19e-03
119 99 1.31e-03 1.48e-03
120 98 1.53e-03 1.30e-03
121 98 1.39e-03 2.59e-03
122 96 2.29e-03 2.68e-03
123 96 3.11e-03 3.07e-03
124 95 2.96e-03 4.56e-03
125 97 2.07e-03 1.67e-03
126 98 1.56e-03 1.67e-03
127 98 1.42e-03 1.69e-03
128 98 1.35e-03 2.16e-03
129 97 1.74e-03 3.00e-03
130 92 3.06e-03 1.11e-02
131 95 6.78e-03 6.37e-03
132 97 4.31e-03 2.72e-03
133 98 2.79e-03 1.24e-03
134 99 1.93e-03 8.37e-04
135 98 9.51e-04 1.34e-03
136 99 8.03e-04 1.00e-03
137 98 1.01e-03 1.60e-03
138 99 1.02e-03 9.31e-04
139 98 1.70e-03 1.18e-03
140 99 1.18e-03 8.10e-04
141 99 1.25e-03 6.76e-04
142 99 1.10e-03 1.21e-03
143 99 1.66e-03 7.25e-04
144 99 1.96e-03 1.14e-03
145 99 1.07e-03 7.42e-04
146 99 8.58e-04 6.80e-04
147 99 1.05e-03 5.60e-04
148 99 8.65e-04 6.73e-04
149 99 1.09e-03 7.53e-04
150 99 1.13e-03 5.81e-04
151 99 8.03e-04 5.86e-04
152 99 9.82e-04 5.52e-04
153 99 8.75e-04 5.44e-04
154 99 1.19e-03 5.87e-04
155 99 1.06e-03 1.57e-03
156 99 8.13e-04 6.89e-04
157 99 7.37e-04 8.17e-04
158 99 9.84e-04 6.94e-04
159 99 6.88e-04 1.04e-03
160 99 9.09e-04 6.37e-04
161 99 6.21e-04 4.99e-04
162 99 5.81e-04 4.58e-04
163 99 5.77e-04 5.84e-04
164 99 5.79e-04 4.97e-04
165 99 6.55e-04 5.10e-04
166 99 7.18e-04 5.27e-04
167 99 7.36e-04 7.51e-04
168 99 6.08e-04 8.79e-04
169 99 7.96e-04 9.53e-04
170 99 7.63e-04 5.54e-04
171 99 6.20e-04 6.28e-04
172 99 1.03e-03 7.04e-04
173 99 1.22e-03 8.47e-04
174 99 7.62e-04 7.20e-04
175 99 6.59e-04 8.44e-04
176 99 7.57e-04 5.10e-04
177 99 5.62e-04 8.65e-04
178 98 8.29e-04 1.80e-03
179 98 7.38e-04 1.44e-03
180 97 1.49e-03 2.99e-03
181 98 4.38e-03 3.00e-03
182 97 2.63e-03 2.10e-03
183 99 1.99e-03 1.22e-03
184 99 1.12e-03 9.68e-04
185 98 6.86e-04 1.50e-03
186 99 8.96e-04 8.23e-04
187 98 9.40e-04 1.76e-03
188 99 8.16e-04 6.92e-04
189 99 8.27e-04 6.99e-04
190 99 7.16e-04 4.43e-04
191 99 9.50e-04 1.54e-03
192 99 1.08e-03 5.21e-04
193 98 1.32e-03 1.65e-03
194 99 1.02e-03 1.80e-03
195 98 1.13e-03 3.76e-03
196 98 2.81e-03 4.17e-03
197 99 2.09e-03 8.62e-04
198 99 2.52e-03 3.19e-03
199 99 2.16e-03 9.64e-04
