# epoch test_accuracy train_avg_loss test_avg_loss
0 75 3.10e-01 6.76e-02
1 86 6.01e-02 3.27e-02
2 85 3.28e-02 1.78e-02
3 84 2.27e-02 2.25e-02
4 85 2.88e-02 2.81e-02
5 86 2.69e-02 2.15e-02
6 86 2.24e-02 2.16e-02
7 87 2.03e-02 1.27e-02
8 79 2.23e-02 3.49e-02
9 81 2.24e-02 2.50e-02
10 87 1.87e-02 1.73e-02
11 74 2.30e-02 3.38e-02
12 84 2.96e-02 3.58e-02
13 88 1.92e-02 1.41e-02
14 88 1.86e-02 1.61e-02
15 86 1.43e-02 1.26e-02
16 90 1.60e-02 1.06e-02
17 86 8.59e-03 1.10e-02
18 87 9.57e-03 1.27e-02
19 85 1.12e-02 1.03e-02
20 91 8.01e-03 8.96e-03
21 87 1.06e-02 1.20e-02
22 89 9.80e-03 7.90e-03
23 86 1.42e-02 2.10e-02
24 90 9.74e-03 9.79e-03
25 89 1.06e-02 9.77e-03
26 92 1.03e-02 6.79e-03
27 90 9.64e-03 1.19e-02
28 85 1.81e-02 2.39e-02
29 80 1.66e-02 2.08e-02
30 89 1.35e-02 1.49e-02
31 91 1.25e-02 7.21e-03
32 86 1.27e-02 1.79e-02
33 92 1.00e-02 7.52e-03
34 91 9.25e-03 8.69e-03
35 91 1.04e-02 1.04e-02
36 92 1.03e-02 6.92e-03
37 93 8.28e-03 6.19e-03
38 92 6.71e-03 9.95e-03
39 86 9.89e-03 1.34e-02
40 92 7.26e-03 8.40e-03
41 92 8.11e-03 8.09e-03
42 93 6.17e-03 4.75e-03
43 93 6.17e-03 5.64e-03
44 93 8.06e-03 5.58e-03
45 89 6.47e-03 1.15e-02
46 88 5.49e-03 9.46e-03
47 94 6.12e-03 6.14e-03
48 85 6.63e-03 1.66e-02
49 92 9.77e-03 7.21e-03
50 96 6.20e-03 3.68e-03
51 92 5.62e-03 5.66e-03
52 93 5.25e-03 4.59e-03
53 95 5.30e-03 3.33e-03
54 95 5.55e-03 5.00e-03
55 93 5.91e-03 6.27e-03
56 93 6.39e-03 5.55e-03
57 93 6.53e-03 4.58e-03
58 90 7.51e-03 9.90e-03
59 93 4.98e-03 5.94e-03
60 96 5.05e-03 3.94e-03
61 94 5.94e-03 6.98e-03
62 92 6.67e-03 5.79e-03
63 92 4.47e-03 7.00e-03
64 94 5.27e-03 4.41e-03
65 96 4.60e-03 3.53e-03
66 96 4.13e-03 2.56e-03
67 96 4.02e-03 3.29e-03
68 97 3.83e-03 2.47e-03
69 97 3.13e-03 2.41e-03
70 97 3.86e-03 2.81e-03
71 96 3.07e-03 2.63e-03
72 97 2.90e-03 2.70e-03
73 95 2.93e-03 3.16e-03
74 98 3.40e-03 2.10e-03
75 96 3.35e-03 3.19e-03
76 96 3.28e-03 4.64e-03
77 96 3.65e-03 3.64e-03
78 95 4.07e-03 3.41e-03
79 98 2.62e-03 1.94e-03
80 97 2.91e-03 2.46e-03
81 96 3.18e-03 2.61e-03
82 93 2.66e-03 3.67e-03
83 95 4.94e-03 3.74e-03
84 97 2.54e-03 1.78e-03
85 97 2.57e-03 2.17e-03
86 97 3.07e-03 2.37e-03
87 89 3.07e-03 1.06e-02
88 97 5.20e-03 2.66e-03
89 97 3.61e-03 2.54e-03
90 97 3.74e-03 2.77e-03
91 98 3.27e-03 2.61e-03
92 96 3.46e-03 3.46e-03
93 97 3.55e-03 2.21e-03
94 97 2.33e-03 1.79e-03
95 94 3.54e-03 4.81e-03
96 97 4.06e-03 4.29e-03
97 97 3.58e-03 1.83e-03
98 98 2.95e-03 1.71e-03
99 97 1.92e-03 3.47e-03
100 98 3.03e-03 1.35e-03
101 98 1.60e-03 1.06e-03
102 97 1.54e-03 1.86e-03
103 99 1.81e-03 1.04e-03
104 99 1.73e-03 1.20e-03
105 98 1.70e-03 1.37e-03
106 98 1.65e-03 1.53e-03
107 99 1.51e-03 1.32e-03
108 98 1.89e-03 1.19e-03
109 96 2.78e-03 3.96e-03
110 94 3.85e-03 5.12e-03
111 88 6.59e-03 9.99e-03
112 92 5.59e-03 9.91e-03
113 95 4.77e-03 6.46e-03
