# epoch test_accuracy train_avg_loss test_avg_loss
0 57 3.24e-02 5.32e-02
1 55 5.84e-02 5.66e-02
2 56 8.33e-02 5.91e-02
3 56 1.07e-01 6.20e-02
4 55 1.31e-01 6.21e-02
5 58 1.55e-01 5.97e-02
6 56 1.79e-01 6.16e-02
7 57 2.02e-01 6.02e-02
8 57 2.25e-01 6.02e-02
9 56 2.48e-01 5.99e-02
10 57 2.71e-01 5.97e-02
11 58 2.94e-01 5.97e-02
12 57 3.17e-01 5.86e-02
13 58 3.39e-01 5.95e-02
14 56 3.62e-01 6.08e-02
15 56 3.85e-01 5.80e-02
16 57 4.07e-01 5.89e-02
17 57 4.30e-01 5.97e-02
18 60 4.52e-01 5.66e-02
19 60 4.74e-01 5.83e-02
