# epoch test_accuracy train_avg_loss test_avg_loss
0 77 4.37e-02 2.72e-02
1 78 2.40e-02 2.23e-02
2 78 1.96e-02 1.98e-02
3 86 1.74e-02 1.81e-02
4 85 1.59e-02 1.69e-02
5 87 1.48e-02 1.60e-02
6 87 1.41e-02 1.52e-02
7 85 1.33e-02 1.47e-02
8 87 1.27e-02 1.43e-02
9 85 1.24e-02 1.38e-02
10 86 1.20e-02 1.34e-02
11 85 1.17e-02 1.33e-02
12 86 1.14e-02 1.29e-02
13 87 1.13e-02 1.28e-02
14 87 1.11e-02 1.24e-02
15 86 1.08e-02 1.23e-02
16 87 1.06e-02 1.21e-02
17 87 1.05e-02 1.19e-02
18 86 1.03e-02 1.18e-02
19 87 1.02e-02 1.17e-02
