# epoch test_accuracy train_avg_loss test_avg_loss
0 55 3.37e-02 5.38e-02
1 55 5.96e-02 5.80e-02
2 55 8.44e-02 5.95e-02
3 57 1.09e-01 5.78e-02
4 57 1.33e-01 5.82e-02
5 56 1.56e-01 6.07e-02
6 57 1.80e-01 5.96e-02
7 59 2.03e-01 5.84e-02
8 56 2.26e-01 6.16e-02
9 55 2.49e-01 6.17e-02
10 60 2.72e-01 5.70e-02
11 59 2.95e-01 5.84e-02
12 58 3.18e-01 5.85e-02
13 56 3.41e-01 5.81e-02
14 58 3.63e-01 5.95e-02
15 59 3.86e-01 5.98e-02
16 60 4.09e-01 5.80e-02
17 58 4.31e-01 5.90e-02
18 58 4.53e-01 5.98e-02
19 57 4.76e-01 6.15e-02
