# epoch test_accuracy train_avg_loss test_avg_loss
0 55 3.25e-02 5.40e-02
1 54 5.84e-02 5.73e-02
2 55 8.32e-02 5.91e-02
3 57 1.07e-01 5.90e-02
4 57 1.31e-01 6.05e-02
5 57 1.55e-01 6.03e-02
6 56 1.78e-01 6.03e-02
7 55 2.02e-01 6.15e-02
8 56 2.25e-01 6.04e-02
9 56 2.48e-01 6.11e-02
10 55 2.71e-01 6.06e-02
11 56 2.94e-01 5.84e-02
12 56 3.17e-01 5.96e-02
13 57 3.39e-01 5.90e-02
14 55 3.62e-01 5.82e-02
15 56 3.84e-01 5.84e-02
16 58 4.07e-01 5.99e-02
17 59 4.29e-01 5.87e-02
18 57 4.52e-01 5.90e-02
19 57 4.74e-01 6.10e-02
