# epoch test_accuracy train_avg_loss test_avg_loss
0 54 3.07e-02 5.55e-02
1 55 5.64e-02 5.90e-02
2 56 8.12e-02 5.99e-02
3 56 1.05e-01 6.03e-02
4 58 1.29e-01 5.90e-02
5 55 1.53e-01 5.97e-02
6 56 1.77e-01 6.03e-02
7 57 2.00e-01 5.84e-02
8 56 2.23e-01 6.11e-02
9 57 2.46e-01 5.94e-02
10 56 2.69e-01 6.03e-02
11 56 2.92e-01 5.81e-02
12 54 3.15e-01 6.11e-02
13 56 3.37e-01 5.71e-02
14 56 3.60e-01 6.22e-02
15 57 3.82e-01 5.85e-02
16 61 4.05e-01 5.84e-02
17 57 4.27e-01 5.95e-02
18 59 4.50e-01 5.84e-02
19 61 4.72e-01 5.66e-02
