# epoch test_accuracy train_avg_loss test_avg_loss
0 54 3.14e-02 5.34e-02
1 57 5.71e-02 5.57e-02
2 57 8.19e-02 5.88e-02
3 56 1.06e-01 6.02e-02
4 56 1.30e-01 5.84e-02
5 57 1.54e-01 6.04e-02
6 58 1.77e-01 5.94e-02
7 53 2.00e-01 6.15e-02
8 54 2.23e-01 6.36e-02
9 57 2.46e-01 5.85e-02
10 55 2.69e-01 6.14e-02
11 52 2.92e-01 6.30e-02
12 60 3.15e-01 5.68e-02
13 59 3.38e-01 5.81e-02
14 54 3.60e-01 5.94e-02
15 56 3.83e-01 5.93e-02
16 54 4.05e-01 5.92e-02
17 56 4.28e-01 6.01e-02
18 58 4.50e-01 5.84e-02
19 58 4.72e-01 5.96e-02
