# epoch test_accuracy train_avg_loss test_avg_loss
0 59 3.21e-02 5.32e-02
1 56 5.78e-02 5.70e-02
2 58 8.24e-02 5.85e-02
3 56 1.07e-01 5.86e-02
4 54 1.30e-01 6.14e-02
5 57 1.54e-01 6.08e-02
6 59 1.77e-01 5.82e-02
7 56 2.01e-01 5.95e-02
8 56 2.24e-01 6.02e-02
9 57 2.47e-01 5.91e-02
10 52 2.69e-01 6.14e-02
11 54 2.92e-01 5.93e-02
12 58 3.15e-01 5.90e-02
13 58 3.38e-01 5.82e-02
14 59 3.60e-01 5.82e-02
15 61 3.83e-01 5.71e-02
16 56 4.05e-01 5.95e-02
17 57 4.27e-01 6.00e-02
18 57 4.50e-01 5.90e-02
19 56 4.72e-01 5.74e-02
