# epoch test_accuracy train_avg_loss test_avg_loss
0 58 4.23e-02 2.95e-02
1 78 2.44e-02 2.25e-02
2 86 1.97e-02 2.01e-02
3 87 1.74e-02 1.82e-02
4 87 1.58e-02 1.70e-02
5 87 1.46e-02 1.60e-02
6 87 1.41e-02 1.54e-02
7 86 1.31e-02 1.46e-02
8 87 1.25e-02 1.41e-02
9 86 1.22e-02 1.38e-02
10 86 1.20e-02 1.33e-02
11 86 1.15e-02 1.30e-02
12 87 1.12e-02 1.29e-02
13 86 1.11e-02 1.26e-02
14 86 1.10e-02 1.25e-02
15 86 1.07e-02 1.21e-02
16 86 1.06e-02 1.21e-02
17 85 1.03e-02 1.20e-02
18 87 1.03e-02 1.17e-02
19 86 1.01e-02 1.16e-02
20 86 1.01e-02 1.15e-02
21 86 9.98e-03 1.14e-02
22 87 9.75e-03 1.12e-02
23 87 9.69e-03 1.11e-02
24 86 9.56e-03 1.10e-02
25 87 9.53e-03 1.10e-02
26 86 9.45e-03 1.10e-02
27 87 9.32e-03 1.08e-02
28 87 9.34e-03 1.07e-02
29 87 9.23e-03 1.06e-02
30 88 9.15e-03 1.06e-02
31 86 9.06e-03 1.05e-02
32 86 8.96e-03 1.06e-02
33 87 9.01e-03 1.05e-02
34 88 8.92e-03 1.03e-02
35 87 8.81e-03 1.02e-02
36 86 8.83e-03 1.05e-02
37 88 8.72e-03 1.02e-02
38 87 8.75e-03 1.02e-02
39 88 8.83e-03 1.02e-02
40 88 8.67e-03 1.01e-02
41 88 8.62e-03 9.99e-03
42 88 8.61e-03 9.98e-03
43 88 8.59e-03 9.97e-03
44 87 8.56e-03 1.01e-02
45 88 8.54e-03 9.97e-03
46 88 8.39e-03 9.83e-03
47 88 8.34e-03 9.81e-03
48 88 8.32e-03 9.85e-03
49 88 8.39e-03 9.69e-03
50 89 8.31e-03 9.69e-03
51 88 8.23e-03 9.65e-03
52 89 8.26e-03 9.59e-03
53 89 8.12e-03 9.58e-03
54 88 8.12e-03 9.52e-03
55 87 8.20e-03 9.76e-03
56 89 8.16e-03 9.43e-03
57 88 8.03e-03 9.56e-03
58 88 8.02e-03 9.45e-03
59 89 7.95e-03 9.42e-03
60 88 8.05e-03 9.46e-03
61 89 7.93e-03 9.51e-03
62 88 7.96e-03 9.45e-03
63 88 8.01e-03 9.41e-03
64 89 7.85e-03 9.21e-03
65 89 7.82e-03 9.20e-03
66 89 7.81e-03 9.26e-03
67 89 7.83e-03 9.18e-03
68 88 7.80e-03 9.24e-03
69 89 7.79e-03 9.20e-03
70 89 7.79e-03 9.10e-03
71 89 7.79e-03 9.13e-03
72 90 7.71e-03 9.07e-03
73 88 7.76e-03 9.43e-03
74 89 7.96e-03 8.98e-03
75 88 7.77e-03 9.39e-03
76 89 7.82e-03 9.16e-03
77 89 7.62e-03 9.09e-03
78 90 7.71e-03 9.13e-03
79 89 7.97e-03 9.16e-03
80 90 7.72e-03 8.93e-03
81 90 7.56e-03 8.95e-03
82 90 7.55e-03 8.92e-03
83 90 7.51e-03 8.92e-03
84 90 7.53e-03 8.88e-03
85 89 7.45e-03 8.90e-03
86 89 7.55e-03 8.94e-03
87 90 7.39e-03 8.89e-03
88 90 7.45e-03 8.86e-03
89 89 7.52e-03 8.79e-03
90 90 7.45e-03 8.77e-03
91 88 7.41e-03 9.02e-03
92 89 7.60e-03 8.85e-03
93 90 7.48e-03 8.85e-03
94 90 7.43e-03 8.82e-03
95 89 7.38e-03 8.87e-03
96 90 7.45e-03 8.66e-03
97 90 7.40e-03 8.72e-03
98 90 7.37e-03 8.68e-03
99 90 7.38e-03 8.68e-03
