# epoch test_accuracy train_avg_loss test_avg_loss
0 80 2.75e-02 1.76e-02
1 85 1.35e-02 1.37e-02
2 87 1.14e-02 1.17e-02
3 87 1.09e-02 1.18e-02
4 87 9.98e-03 1.11e-02
5 87 1.03e-02 1.12e-02
6 88 9.51e-03 1.01e-02
7 86 8.99e-03 1.07e-02
8 88 9.36e-03 1.03e-02
9 85 9.52e-03 1.19e-02
10 89 9.46e-03 9.46e-03
11 89 8.50e-03 1.05e-02
12 89 8.57e-03 9.87e-03
13 89 8.61e-03 9.73e-03
14 89 8.70e-03 9.25e-03
15 86 8.35e-03 1.17e-02
16 89 9.16e-03 9.25e-03
17 88 8.57e-03 1.17e-02
18 87 9.59e-03 9.53e-03
19 89 9.35e-03 9.12e-03
20 89 7.71e-03 9.12e-03
21 90 7.67e-03 8.95e-03
22 88 7.71e-03 9.09e-03
23 90 7.67e-03 8.36e-03
24 89 7.67e-03 8.64e-03
25 91 7.39e-03 8.82e-03
26 89 7.60e-03 9.14e-03
27 89 7.22e-03 8.71e-03
28 86 7.24e-03 9.66e-03
29 89 7.83e-03 8.44e-03
30 89 7.96e-03 9.34e-03
31 88 7.46e-03 8.46e-03
32 89 7.20e-03 8.32e-03
33 90 7.38e-03 9.00e-03
34 91 7.45e-03 7.88e-03
35 90 7.91e-03 8.27e-03
36 89 8.65e-03 9.48e-03
37 89 7.27e-03 8.36e-03
38 91 7.33e-03 8.31e-03
39 91 7.12e-03 8.59e-03
40 90 7.39e-03 7.88e-03
41 90 7.33e-03 8.10e-03
42 90 7.37e-03 7.88e-03
43 90 7.10e-03 7.92e-03
44 90 6.93e-03 8.73e-03
45 91 7.10e-03 7.99e-03
46 91 6.93e-03 7.76e-03
47 90 6.84e-03 8.57e-03
48 90 7.43e-03 8.09e-03
49 89 7.50e-03 8.84e-03
50 89 7.54e-03 8.39e-03
51 90 6.80e-03 7.87e-03
52 90 7.03e-03 7.94e-03
53 90 6.92e-03 8.27e-03
54 90 7.18e-03 7.99e-03
55 90 7.05e-03 7.50e-03
56 90 7.05e-03 7.86e-03
57 90 7.24e-03 8.37e-03
58 90 6.74e-03 7.65e-03
59 90 7.18e-03 8.82e-03
60 87 7.22e-03 9.23e-03
61 89 7.39e-03 8.92e-03
62 90 7.24e-03 7.49e-03
63 91 7.51e-03 7.76e-03
64 90 6.87e-03 8.01e-03
65 90 7.56e-03 8.34e-03
66 90 7.14e-03 7.69e-03
67 89 6.38e-03 8.37e-03
68 88 7.53e-03 8.67e-03
69 90 6.74e-03 7.97e-03
70 89 6.69e-03 7.62e-03
71 89 7.49e-03 9.37e-03
72 88 7.32e-03 9.13e-03
73 89 7.12e-03 7.56e-03
74 89 6.65e-03 1.03e-02
75 89 7.42e-03 8.33e-03
76 90 6.91e-03 7.95e-03
77 90 7.24e-03 7.48e-03
78 89 6.35e-03 7.60e-03
79 91 6.67e-03 7.27e-03
80 90 7.03e-03 7.47e-03
81 88 6.53e-03 8.66e-03
82 90 6.55e-03 7.35e-03
83 90 6.63e-03 7.70e-03
84 89 7.22e-03 8.32e-03
85 88 6.85e-03 8.65e-03
86 91 7.12e-03 7.57e-03
87 90 6.66e-03 8.52e-03
88 88 6.77e-03 8.41e-03
89 89 6.68e-03 9.18e-03
90 91 7.25e-03 8.17e-03
91 91 6.84e-03 7.38e-03
92 90 6.45e-03 7.96e-03
93 88 6.78e-03 8.03e-03
94 91 6.71e-03 7.52e-03
95 91 6.99e-03 7.17e-03
96 91 5.97e-03 7.59e-03
97 91 6.20e-03 7.18e-03
98 90 7.48e-03 7.96e-03
99 91 6.36e-03 7.38e-03
